name,type,value,date
Skyscraper,Uni.,65510875.00,10
Teen Titans Go! To The Movies,WB,23776544.00,10
Disney's Christopher Robin,BV,58017410.00,11
Ant-Man and the Wasp,BV,205745650.00,11
Incredibles 2,BV,591798848.00,11
BlacKkKlansman,Focus,16009490.00,11
The Darkest Minds,Fox,12034486.00,11
Dog Days (2018),LD,5060823.00,11
The Spy Who Dumped Me,LGF,27381015.00,11
Mission: Impossible - Fallout,Par.,170238721.00,11
Slender Man,SGem,15776579.00,11
Hotel Transylvania 3: Summer Vacation,Sony,150193700.00,11
The Equalizer 2,Sony,91918884.00,11
Mamma Mia! Here We Go Again,Uni.,107817490.00,11
Jurassic World: Fallen Kingdom,Uni.,410597365.00,11
The Meg,WB,62609062.00,11
Crazy Rich Asians,WB,8766769.00,11
Disney's Christopher Robin,BV,71288783.00,12
Ant-Man and the Wasp,BV,209666699.00,12
Incredibles 2,BV,595412966.00,12
BlacKkKlansman,Focus,26693540.00,12
The Spy Who Dumped Me,LGF,31278142.00,12
Mission: Impossible - Fallout,Par.,185900660.00,12
Slender Man,SGem,22618116.00,12
Hotel Transylvania 3: Summer Vacation,Sony,156117389.00,12
The Equalizer 2,Sony,96020332.00,12
Alpha,Studio 8,14560574.00,12
Mile 22,STX,19140954.00,12
Mamma Mia! Here We Go Again,Uni.,113355110.00,12
Jurassic World: Fallen Kingdom,Uni.,412268695.00,12
Crazy Rich Asians,WB,51808947.00,12
The Meg,WB,92270646.00,12
Disney's Christopher Robin,BV,80408868.00,13
Ant-Man and the Wasp,BV,212160458.00,13
Incredibles 2,BV,597860913.00,13
BlacKkKlansman,Focus,34192825.00,13
A.X.L.,Global Road,3784935.00,13
Mission: Impossible - Fallout,Par.,197346529.00,13
Slender Man,SGem,26359809.00,13
Hotel Transylvania 3: Summer Vacation,Sony,159901006.00,13
The Equalizer 2,Sony,98901362.00,13
Alpha,Studio 8,22922220.00,13
The Happytime Murders,STX,12615694.00,13
Mile 22,STX,28186334.00,13
Mamma Mia! Here We Go Again,Uni.,116448120.00,13
Crazy Rich Asians,WB,88727388.00,13
The Meg,WB,109986416.00,13
Disney's Christopher Robin,BV,88529090.00,14
Incredibles 2,BV,603113505.00,14
BlacKkKlansman,Focus,40888530.00,14
Kin,LGF,4513611.00,14
Operation Finale,MGM,11064446.00,14
Mission: Impossible - Fallout,Par.,208316767.00,14
Ya Veremos,PNT,2545037.00,14
Searching,SGem,9796130.00,14
Slender Man,SGem,28854082.00,14
Hotel Transylvania 3: Summer Vacation,Sony,163111613.00,14
Alpha,Studio 8,29942518.00,14
The Happytime Murders,STX,18945427.00,14
Mile 22,STX,33905146.00,14
Crazy Rich Asians,WB,122622165.00,14
The Meg,WB,125542774.00,14
Disney's Christopher Robin,BV,92993487.00,15
Incredibles 2,BV,604869025.00,15
BlacKkKlansman,Focus,44650950.00,15
God Bless the Broken Road,Free,1970232.00,15
Operation Finale,MGM,15146305.00,15
Mission: Impossible - Fallout,Par.,213820337.00,15
Searching,SGem,16421103.00,15
Hotel Transylvania 3: Summer Vacation,Sony,164506099.00,15
Alpha,Studio 8,33341017.00,15
Peppermint,STX,18175804.00,15
Mile 22,STX,35623490.00,15
The Happytime Murders,STX,20459597.00,15
Crazy Rich Asians,WB,140851904.00,15
The Meg,WB,133282190.00,15
The Nun,WB (NL),66876325.00,15
Disney's Christopher Robin,BV,95835797.00,16
BlacKkKlansman,Focus,46480350.00,16
The Predator (2018),Fox,31735122.00,16
A Simple Favor,LGF,22162414.00,16
Operation Finale,MGM,16824274.00,16
Mission: Impossible - Fallout,Par.,216974667.00,16
Unbroken: Path to Redemption,PFR,3255522.00,16
Searching,SGem,20940344.00,16
The Wife,SPC,4001177.00,16
White Boy Rick,Studio 8,12410368.00,16
Alpha,Studio 8,34822570.00,16
Peppermint,STX,26612559.00,16
Crazy Rich Asians,WB,152924483.00,16
The Meg,WB,138172919.00,16
The Nun,WB (NL),90645307.00,16
Life Itself (2018),Amazon,2982521.00,17
Fahrenheit 11/9,Briarcliff,4069293.00,17
The Predator (2018),Fox,43934251.00,17
My Hero Academia: Two Heroes,FUN,2578774.00,17
A Simple Favor,LGF,36466808.00,17
Assassination Nation,Neon,1525747.00,17
Mission: Impossible - Fallout,Par.,218568933.00,17
Unbroken: Path to Redemption,PFR,5108119.00,17
Searching,SGem,23883582.00,17
White Boy Rick,Studio 8,19329781.00,17
Peppermint,STX,31756908.00,17
The House With A Clock In Its Walls,Uni.,32253225.00,17
Crazy Rich Asians,WB,161531775.00,17
The Meg,WB,140948105.00,17
The Nun,WB (NL),103583048.00,17
Fahrenheit 11/9,Briarcliff,5747385.00,18
The Predator (2018),Fox,49085889.00,18
My Hero Academia: Two Heroes,FUN,5439119.00,18
A Simple Favor,LGF,45579356.00,18
Hell Fest,LGF,6789476.00,18
Searching,SGem,25206660.00,18
The Wife,SPC,6406834.00,18
White Boy Rick,Studio 8,22748086.00,18
Peppermint,STX,34243394.00,18
Night School (2018),Uni.,34476355.00,18
The House With A Clock In Its Walls,Uni.,47756560.00,18
Smallfoot,WB,27860945.00,18
Crazy Rich Asians,WB,167074942.00,18
The Meg,WB,142225783.00,18
The Nun,WB (NL),110757310.00,18
Colette,BST,1552452.00,19
Disney's Christopher Robin,BV,98451444.00,19
The Predator (2018),Fox,50489921.00,19
A Simple Favor,LGF,50657508.00,19
Hell Fest,LGF,9810680.00,19
Free Solo,NGE,1242972.00,19
Venom (2018),Sony,107102151.00,19
White Boy Rick,Studio 8,23695337.00,19
Peppermint,STX,34978372.00,19
Night School (2018),Uni.,51808950.00,19
The House With A Clock In Its Walls,Uni.,58275500.00,19
A Star is Born (2018),WB,66160360.00,19
Smallfoot,WB,48308221.00,19
Crazy Rich Asians,WB,170289368.00,19
The Nun,WB (NL),114555046.00,19
Colette,BST,3090253.00,20
Bad Times At The El Royale,Fox,10041801.00,20
The Hate U Give,Fox,3141873.00,20
The Old Man & the Gun,FoxS,2150856.00,20
Gosnell: The Trial of America's Biggest Serial Killer,GVN,1813620.00,20
A Simple Favor,LGF,52541690.00,20
Venom (2018),Sony,153020095.00,20
Goosebumps 2: Haunted Halloween,Sony,19089812.00,20
First Man,Uni.,21435050.00,20
Night School (2018),Uni.,61906825.00,20
The House With A Clock In Its Walls,Uni.,63187590.00,20
A Star is Born (2018),WB,107076246.00,20
Smallfoot,WB,59751035.00,20
Crazy Rich Asians,WB,171710201.00,20
The Nun,WB (NL),116330963.00,20
